I  pron.我
hand  n.手；指针；(工具等的)把手 v.交，递，给
joke  n.笑话 vi.开玩笑
halt  n./v.停住，停止
mode  n.方式，样式；时尚，时兴
grip  v.牢牢抓紧；强烈吸引 n.抓紧；掌握，控制
grey  n./a.灰色(的)
grow  vi.生长；发展；变得 vt.种(花、庄稼等)
mist  n.薄雾；(眼睛的)模糊不清
kilo  n.千
harm  n.损害，危害 vt.伤害，危害
hard  a.坚硬的；辛苦的 ad.努力地
item  n.条款，项目；(新闻等的)一则
jail  n.监狱，看守所
kind  a.仁慈的，友好的 n.种类
hang  v.悬挂；绞死；风干；贴(墙纸)
mind  n.头脑；记忆；注意；想法 v.注意；介意
mine  pron.[I的物主代词]我的 n.矿山 v.开矿
milk  n.牛奶；(植物流出的)白色乳液 v.挤奶
join  v.参加；联合；和…在一起
mild  a.温和的；(酒、烟等)味淡的；适度的
mile  n.英里
glow  vi.发白热光；(身体)发热 n.白热光；激情
just  a.正义的；公正的 ad.正好；只是；刚刚
goal  n.目标，目的地；球门；进球得分
glue  n.胶，胶水 vt.用胶水粘合
jury  n.陪审团
glad  a.高兴的；情愿的
move  vt.移动；感动；提议 vi.移动 n.走棋；步骤
much  a.许多的 pron.许多 ad.很；几乎，大概
must  aux.&v.必须；很可能；一定要 n.必须做的事
germ  n.微生物，细菌
give  v.给予；传递(消息)；发布(命令)；赠送
girl  n.少女，女孩，姑娘
gift  n.赠品，礼物；天赋，才能
grab  n./v.强夺，摄取，抓取
July  n.七月
gray  n.&a.灰色(的)
mold  n.模子，模型，铸模 vt.造型，浇涛
gram  n.克
jump  v./n.跳，跳跃，跳过；暴涨，猛增
golf  n.高尔夫球
gold  n.黄金，金币 a.金的，金制的，金色的
goat  n.山羊
June  n.六月
more  a.更多的；另外的 n.更多数量 ad.更；另外
most  a.最多的；大部分的 pron.最大量 ad.最
loaf  n.一条(面包)
load  n.装载量；负荷，负载 v.装，装载，装货
live  a.活的，活生生的；实况转播的；燃烧着的
loan  n.贷款；借出 vt.借出
long  a.长(的)；长时间的 ad.长期地 vi.渴望
lock  n.锁 v.(被)锁上
inch  n.英寸；少许，一点儿 v.慢慢地移动
list  n.目录，名单，表 v.列举，排列
like  a.相像的 prep.像，和…一样 v.喜欢，希望
lift  v.提升；(尤指云、雾)消散 n.举起；电梯
life  n.生命；生物；寿命；生活，生存
limb  n.肢，臂，翼
lion  n.狮子
link  n.环，联系 vi.连接，联系
line  n.线；电线；路线 vt.(使)排成行
lung  n.肺
idle  a.懒惰的，空闲的；无效的，无用的
lump  n.团，块；肿块 vt.使成团(块)
idea  n.主意，想法；概念，思想；计划，建议
maid  n.女仆；未婚少女
hunt  n.打猎 v.打猎；寻找，搜索
hurt  n.伤害 vt.弄伤；伤害(感情) vi.伤痛
luck  n.运气；幸运，好运
lord  n.贵族；(L-)主，上帝；阁下
lose  v.失去；失败；损失；耽搁，浪费(时间)
love  v.爱好；热爱 n.热爱；喜爱；情人；零分
loud  a.响亮的，大声的；喧闹的 ad.大声地
lake  n.湖，湖泊
lady  n.夫人，女士；(pl.)女盥洗室
lack  n.&v.缺乏，缺少，短缺
lamb  n.小羊，羔羊；羔羊肉
lane  n.小路，小巷；车道，跑道
land  n.陆地；土地；国家 v.使…着陆，登陆
lamp  n.灯
know  n.知道，了解；会，懂；认识，熟悉
iron  n.铁；熨斗 v.熨，烫
king  n.国王，君主
kite  n.风筝
into  prep.进入，到…里；成为，转为
knot  n.结；节，疤 v.打结，捆扎
lend  vt.借书，借给；赊予
left  a.左边的 ad.向左 n.左边；(政党)左派
leap  v.跳，跃；跃过 n.跳跃；飞跃
lens  n.透镜，镜头
lick  n./vt.舔
lest  conj.唯恐，免得
lean  v.倾斜；把…靠在；倚，靠
lawn  n.草地，草坪
late  a.迟的；晚期的；最近的 ad.迟，晚
last  a.最后的；最近的 ad.最后(地) vi.持续
lazy  a.懒惰的，懒散的
leak  vi.漏；泄露出去 n.漏洞；泄露
leaf  n.叶(子)；张，页；薄金属片
lead  n.铅
page  n.页，张
pain  n.疼痛；(精神上的)痛苦；努力，辛苦
fair  n.定期集市；交易会 a.公平的；晴朗的
pace  n.步子；速度 v.踱步(于…)；用步子量
pack  n.背包；大量 vt.捆扎 vi.包装
fame  n.名誉，声望
fail  vi.失败；衰退 vt.使失望；使不及格
palm  n.手掌，手心；棕榈(树)
face  n.脸；外观；(器具的)使用面；票面 v.面对
park  n.公园；停车场 v.停放(车辆)
fact  n.事实；真相，事情
fade  vi.褪色；逐渐消失
pair  n.一对，一双；夫妇 vt.使成双，使配对
pale  a.苍白的，灰白的；淡的，暗淡的
fare  n.车费，票价；食物 vi.过活，生活；进展
oral  a.口头的，口语的；口(部)的
open  a.开的；开阔的；营业的 vt.开始 vi.开(放)
file  n.档案；(计算机)文件 vt.把…归档
only  ad.仅仅 a.唯一的；最好的 conj.可是
fear  n.恐惧 v.害怕，担心
oven  n.烤箱，炉灶
over  prep.在…上面；跨越 ad.结束；(越)过
farm  n.农场，农庄；饲养场 vt.耕种 vi.种地
fast  a.快的；坚固的 ad.紧紧地 n./v.禁食，斋戒
ours  pron.[we的物主代词]我们的
fate  n.命运；结局，结果；将来，前景
oval  a.卵形的，椭圆形的 n.卵形，椭圆形
play  n.游戏；剧本；比赛 v.游戏；演奏；扮演
plot  n.情节；阴谋 vt.密谋；标出 vi.密谋
pity  n.怜悯，同情；遗憾的事 v.可怜，同情
plan  n.计划，打算；平面图 v.计划，打算；设计
plow  n.犁 v.犁，耕
poet  n.诗人
pole  n.柱，杆；地极，磁极，电极
poem  n.诗
plug  n.塞子，插头 v.堵，塞住
plus  prep.加上 a.正的；附加的 n.加号
envy  vt./n.妒忌，羡慕
evil  n.邪恶，罪恶 a.邪恶的，罪恶的
peak  n.山顶；最高点 a.最高的，高峰的
pear  n.梨(树)
path  n.小路，小径；路线，轨道，路程
part  n.部分；职责 vt.分；断绝(关系) vi.分开
past  prep.越过，经过 n.过去 a.过去的
exit  n.出口，安全门；(演员)退场，退出 vt.退出
pine  n.松树
pink  n.粉红色 a.粉红色的
pint  n.品脱(流量单位)
exam  n.考试；检查
pick  n.镐 v.挑选；采，摘；剔除
pile  n.堆，叠；大量 v.堆，堆积；拥挤进(入)
from  prep.从…起；由于，因为；离；从，由
frog  n.蛙
nest  n.巢 v.筑巢
fuel  n.燃料；养料 v.(给)…加燃料；刺激；推动
neck  n.脖子，颈
four  num.四(个)
news  n.新闻
next  ad.其次 a.下一个 prep.靠近 n.下一个
nice  a.美好的；正派的；令人高兴的；细微的
fund  n.资金；(pl.)存款；(物质资源的)储备
nail  n.指甲，爪；钉 vt.钉，使牢固
name  n.名字；名声；知名人士 vt.列举；任命
gaol  =jail n.监狱 vt.使…坐牢
myth  n.神话
gear  n.齿轮，传动装置；用具，装备 v.开动
gaze  vi./n.凝视，注视
gate  n.大门；阀门，闸门
navy  n.海军
near  a.近的；亲密的 ad.接近 prep./v.靠近
neat  a.整洁的；简洁的；优美的；纯净的
game  n.游戏；比赛(项目)；(pl.)运动会
gain  vt.获得；(钟表)走快 vi.受益 n.增加；收益
fist  n.拳，拳头
fish  n.鱼 v.钓鱼，捕鱼
firm  a.结实的；坚定的 n.商行，公司
five  num.五(个)
flat  a.平的；单调的 n.一套房间 ad.完全地
flag  n.旗(帜)
omit  v.省略，删去；忽略，忘记
once  ad.一次，曾经 conj.一…就… n.一次
film  n.影片；胶卷；薄层 v.把…拍成电影
find  v.找到；发展；达到
fire  n.火；射击 v.解雇；着火；射击
fine  a.美好的；纤细的 n.罚款 vt.罚…的款
okay  a./ad.对，好，可以 n.同意，许可
flow  n.流，流量(速)；涨潮；泛滥洪水 v.流动
obey  v.服从，遵守
fork  n.叉；分岔
nose  n.鼻子 vt.闻出，探出 vi.嗅，闻
note  n.笔记；注释；便条；纸币；名望 vt.记下
form  n.形式；类型；格式 v.形成
fond  a.喜欢的
fold  v.折叠 n.褶(痕)，折页，折叠处
folk  n.人们 a.民间的
short  a.短的，短暂的；矮的，低的；缺乏的
shore  n.岸，岸边；陆
shout  v.大声叫，喊，呼出 n.呼喊，叫
shock  n.震动；震惊；休克；电击 vt.使震惊
horn  n.角，触角；号角，喇叭；角状物；警报器
mark  n.斑点；记号 v.弄污；标志；(给试卷)打分
hope  v.希望，期望 n.希望；所希望的人或事
mask  n.面具；假面具，伪装 vt.遮盖，掩饰
meal  n.一餐，膳食
mean  v.表…的意思，意指；意为，意欲；意味着…
hide  vt.把…藏起来，躲藏；遮掩，隐瞒 n.兽皮
host  n.主人；许多 vt.作…的主人或节目主持人
holy  a.神圣的，圣洁的，至善的
home  n.家(庭)；发源地 a.家庭的 ad.在家，回家
math  n.数学
hole  n.洞，孔眼
hold  v.拿；包含；占有 n.船舱；控制；抓住
hint  n.暗示；小许；指示，提示 v.暗示
mate  n.伙伴；配偶 v.使…配对
hire  v.&n.租用，雇用
hers  pron.[she的物主代词]她的(所有物)
heap  n.(一)堆；许多 vt.使成堆，堆起
heal  v.(特别指创伤)治愈；(伤口)愈合
mend  vt.修理，修补，缝补；纠正 n.修补，补钉
melt  v.(使)融化，(使)熔化；消散，消失
heat  n.热量；体温；热烈 vt.(使)变热，加热
hear  vt.听见；得知；倾听；审讯，听证
have  n.有；得到；吃；从事；享有；允许；雇用
hate  v.恨，不愿 n.憎恨，厌恶 vt.憎恨；讨厌
menu  n.菜单
head  n.头；领导；顶部 v.当…的首领；开往
meat  n.肉
help  n.求助；帮手；佣人 v.援助；避免
hero  n.男主角，男主人公；英雄
herd  n.牛群，兽群
shame  n.耻辱，羞愧；可耻的人或物 vt.使羞愧
daily  a.每日(的) n.日报
count  v.数，计算；认为；有价值 n.计数，总数
dairy  n.牛奶场，乳品店；乳制品 a.牛奶的
shape  n.形状；情况 vt.使成形，塑造；实现
huge  a.庞大的，巨大的
many  a.许多的，多的 pron.许多人或物，许多
hour  n.钟点，整点；小时，一个钟头；时刻
mail  n.邮件，信件 vt.邮寄
main  a.主要的，最重要的 n.干线?
male  n./a.男性(的)，雄性(的)
crown  n.王冠；王权；顶部 vt.给…加冕；覆盖
scope  n.范围；理解力(范围)；发展余地
shirt  n.衬衫
scold  v.责骂，申斥
crude  a.天然的；粗鲁的；粗糙的 n.原油
